teamNum,matchNum,alliance,driveStation,startLocation,preload,mobility,autoPickups,autoCones,autoCubes,autoBalance,communityPickups,neutralPickups,singlePickups,doublePickups,teleopCones,teleopCubes,shuttle,teleopBalance,buddyClimb,driver,scoutName,comments,scoredT,scoredA,scoredCones,scoredCubes,totalPickups,scoredLowT,scoredMidT,scoredHightT,scoredLowA,scoredMidA,scoredHighA,scoredTCones,scoredTCubes,scoredACones,scoredACubes,scoredHighT,pointsT,pointsA,pointsTotal,ct
7540,12,r,,3,cone,TRUE,NA,27,NA,na,0,1,2,0,27,"26,25",FALSE,engage,FALSE,3,ha,decent robot. has some difficulty intaking. has arm but scores only low.,3,2,2,3,5,0,0,0,0,0,1,1,2,1,1,3,15,18,33,43.433
7119,14,r,,1,cube,FALSE,NA,NA,NA,na,0,1,0,0,NA,"19,24",FALSE,na,FALSE,1,Ha,pusher bot. Very slow.,3,2,2,3,5,0,0,0,0,0,0,1,2,1,1,2,10,12,22,45
5052,15,r,,3,cube,TRUE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,engage,FALSE,3,Ha,"couldn't do much. tried defending, decent climber",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,59.5
4717,16,r,,1,NA,FALSE,NA,NA,NA,na,0,2,0,0,NA,24,FALSE,fail,FALSE,1,Ha,got on climb but fell off. no defense. push bot.,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,57.1
4734,17,r,,1,cone,FALSE,NA,20,NA,na,1,2,0,0,20,"19,21",FALSE,engage,FALSE,3,ha,decent bot. should be able to hit higher node but elevation mechanism seems to be broken. good charge station action.,3,2,2,3,5,0,0,0,0,0,1,1,2,1,1,3,15,18,33,43.367
2881,18,r,,2,cone,FALSE,NA,4,NA,na,0,0,0,3,"4,6,7,9",NA,FALSE,na,FALSE,3,Ha,suction intake? Arm takes too long to deposit cones. prefers cones. did not climb (robot breakdown?),5,2,5,2,7,4,0,0,1,0,0,4,1,1,1,0,8,3,11,27
3029,17,b,,3,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,engage,FALSE,2,rengarajan,"wobbly, got a cone stuck inside their drivetrain, engaged reliably even after 1477 got on, intake dubious?",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,52.5
2848,18,b,,3,cube,TRUE,NA,NA,8,na,0,0,0,0,NA,8,FALSE,na,FALSE,3,rengarajan,dc'ed immediately after auton somehow,2,2,2,2,4,1,0,0,1,0,0,1,1,1,1,0,2,3,5,67.5
2158,19,b,,1,cone,FALSE,NA,1,NA,na,0,0,0,0,1,NA,FALSE,engage,FALSE,2,Nguyen,"Did not move most of the game and intake was stuck in the air, had to be assisted on the charging station by having an alliance member lower it",2,2,2,2,4,1,0,0,1,0,0,1,1,1,1,0,2,3,5,66.6
8556,17,b,,1,cube,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,na,FALSE,1,cobleigh,did not do much. very slow.,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
